Data Source,World Development Indicators,,,,,,,
Last Updated Date,10/7/25,,,,,,,
Country Name,Country Code,Indicator Name,2019,2020,2021,2022,2023,2024
Estonia,EST,GDP growth (annual %),3.726649435,-2.883807515,7.154446763,0.060430517,-3.023038745,-0.26100621
Ethiopia,ETH,GDP growth (annual %),8.364085733,6.059530891,5.641530693,5.321759884,6.594245994,7.316691128
European Union,EUU,GDP growth (annual %),1.877158567,-5.573432884,6.357135857,3.492143847,0.455502396,1.025367827
Fragile and conflict affected situations,FCS,GDP growth (annual %),2.313661241,-5.023115941,2.440370296,1.239995316,1.961882638,1.6539895
Finland,FIN,GDP growth (annual %),1.349738457,-2.491036055,2.676346415,0.763041913,-0.946904863,-0.154214821
Fiji,FJI,GDP growth (annual %),-0.581946709,-17.03866737,-4.881036196,19.79272669,7.524291351,3.828998887
France,FRA,GDP growth (annual %),2.027446464,-7.440645899,6.882337834,2.570840476,0.936487519,1.166138515
Faroe Islands,FRO,GDP growth (annual %),4.538510287,-1.63732118,5.504380173,3.556023804,2.489058117,
"Micronesia, Fed. Sts.",FSM,GDP growth (annual %),4.081632653,-1.672954171,3.099704573,-2.905865806,0.482147762,0.719083512
Gabon,GAB,GDP growth (annual %),3.920808795,-1.837761064,1.467957315,3.037614495,2.445880831,3.383907608
United Kingdom,GBR,GDP growth (annual %),1.62447518,-10.29691886,8.575950874,4.839085179,0.397082346,1.100667866
Georgia,GEO,GDP growth (annual %),5.380719266,-6.290471785,10.64423366,10.95853214,7.832201266,9.428572202
Ghana,GHA,GDP growth (annual %),6.507774794,0.513941671,5.076466435,3.80484981,3.140090998,5.684872604
Gibraltar,GIB,GDP growth (annual %),,,,,,
Guinea,GIN,GDP growth (annual %),5.616914469,4.704590961,5.582332811,3.972407842,5.541726686,5.668523935
"Gambia, The",GMB,GDP growth (annual %),6.22205316,0.591487288,5.255968788,5.492998255,4.797508945,5.746717655
Guinea-Bissau,GNB,GDP growth (annual %),5.565745336,2.128114901,5.237366406,5.58513728,4.463699361,4.813485952
Equatorial Guinea,GNQ,GDP growth (annual %),-5.481825379,-4.791080834,0.860269956,3.223508317,-5.089308721,0.907248246
Greece,GRC,GDP growth (annual %),2.277180653,-9.196231497,8.65449786,5.743649025,2.332124449,2.271736226
Grenada,GRD,GDP growth (annual %),0.676511739,-13.75662226,4.687478169,7.320740616,4.679761816,3.693059328
Greenland,GRL,GDP growth (annual %),2.832177568,0.250789762,1.63409411,2.004555809,0.865961987,
Guatemala,GTM,GDP growth (annual %),4.017897934,-1.785551945,8.041703837,4.184518087,3.533156701,3.651864629
Guam,GUM,GDP growth (annual %),2.523602033,-10.51885957,2.058183257,5.099864262,,
Guyana,GUY,GDP growth (annual %),5.352840035,43.47965172,20.05999756,63.33463437,33.79501112,43.37200948
High income,HIC,GDP growth (annual %),1.913669413,-3.874515987,5.843371454,3.00327835,1.821328486,1.926998288
"Hong Kong SAR, China",HKG,GDP growth (annual %),-1.672395165,-6.544783202,6.454424733,-3.683751417,3.214489017,2.541197539
Honduras,HND,GDP growth (annual %),2.559634346,-8.965082233,12.56528438,4.14356194,3.575847605,3.553970033
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),4.467945975,0.239495193,4.241882915,4.992135935,3.481205558,5.243779523
Croatia,HRV,GDP growth (annual %),3.100439114,-8.311642579,12.63170033,7.287936432,3.302544881,3.814945217
Haiti,HTI,GDP growth (annual %),-1.723096998,-3.30550547,-1.798239889,-1.681983969,-1.863884203,-4.169633958
Hungary,HUN,GDP growth (annual %),5.077184951,-4.3387254,7.222915808,4.270347552,-0.842528841,0.512305791
IBRD only,IBD,GDP growth (annual %),4.038930981,-1.249100268,7.624248969,3.735622516,4.82049142,4.313820387
IDA & IBRD total,IBT,GDP growth (annual %),4.036007543,-1.219681221,7.384404843,3.782779701,4.685911207,4.306754137
IDA total,IDA,GDP growth (annual %),4.000133396,-0.858539024,4.451726221,4.376904626,3.000776529,4.216711516
IDA blend,IDB,GDP growth (annual %),3.020933527,-1.418325389,5.264579167,4.365410161,2.736966647,3.870820166
Indonesia,IDN,GDP growth (annual %),5.01928768,-2.065511829,3.702885628,5.307197227,5.049023318,5.030344694
IDA only,IDX,GDP growth (annual %),4.967246492,-0.315913886,3.672506495,4.388092702,3.257498651,4.551613004
Isle of Man,IMN,GDP growth (annual %),0.254877847,-8.836816975,3.837836323,-4.165393452,,
India,IND,GDP growth (annual %),3.871436941,-5.777724707,9.689592492,7.609364978,9.19075493,6.48422363
Not classified,INX,GDP growth (annual %),,,,,,
Ireland,IRL,GDP growth (annual %),5.040549962,7.1578988,16.25561352,8.619503456,-5.530007389,1.221334299
"Iran, Islamic Rep.",IRN,GDP growth (annual %),-3.070587985,3.330288459,4.719777732,3.776631402,5.044890195,3.040000309
Iraq,IRQ,GDP growth (annual %),5.513790575,-12.03679309,1.50218071,7.95904805,0.517705525,-1.545251983
Iceland,ISL,GDP growth (annual %),1.861177946,-6.940453068,5.033406131,8.978970852,5.646461819,0.516863122
Israel,ISR,GDP growth (annual %),3.710496328,-2.021615482,9.388374034,6.263263438,1.826520495,0.871968424
Italy,ITA,GDP growth (annual %),0.429162534,-8.868221222,8.931062108,4.821176699,0.715372501,0.72579238
Jamaica,JAM,GDP growth (annual %),0.892291654,-9.920322451,4.6014245,5.221519852,2.604663055,-0.718806912
Jordan,JOR,GDP growth (annual %),1.751240779,-1.102751883,3.65564359,2.647435149,2.884083393,2.488894096
Japan,JPN,GDP growth (annual %),-0.402169201,-4.168764571,2.696574042,0.941998775,1.475034811,0.083698564
Kazakhstan,KAZ,GDP growth (annual %),4.500000001,-2.499999996,4.299999997,3.2,5.1,4.8
Kenya,KEN,GDP growth (annual %),5.114158858,-0.272766327,7.590489473,4.859981043,5.555873013,4.496498285
Kyrgyz Republic,KGZ,GDP growth (annual %),4.600625657,-7.148977577,5.507007627,8.9675052,9.013292834,9.040135561
Cambodia,KHM,GDP growth (annual %),7.936950136,-3.555721934,3.089842842,5.129901108,5.007330438,6.015814574
Kiribati,KIR,GDP growth (annual %),3.264287565,-1.468067181,8.479737871,4.566325931,2.652010875,5.266899264
St. Kitts and Nevis,KNA,GDP growth (annual %),2.938246581,-15.30188917,0.367606879,10.34240405,4.328557716,1.166440229
"Korea, Rep.",KOR,GDP growth (annual %),2.24397786,-0.709415359,4.304734819,2.612672192,1.356733243,
Kuwait,KWT,GDP growth (annual %),2.263816906,-4.817789823,1.672636896,6.758667047,-1.667205897,-2.560111133
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),0.600027444,-6.523609091,6.870404453,3.85173953,2.188569461,2.012113862
Lao PDR,LAO,GDP growth (annual %),5.457735092,0.503031829,2.528351005,2.707426526,3.745681402,4.258257247
Lebanon,LBN,GDP growth (annual %),-6.914924729,-21.39989969,-7.001238625,-0.621678971,-0.76058447,
Liberia,LBR,GDP growth (annual %),-2.467297635,-2.982491276,4.986712835,4.808105173,4.683756888,4.792914822
Libya,LBY,GDP growth (annual %),-11.19608289,-29.45529673,28.33346246,-8.251630041,10.15581818,-0.605832527
St. Lucia,LCA,GDP growth (annual %),-0.700322396,-24.36147321,11.59878358,20.38844318,2.209882765,3.891750242
Latin America & Caribbean,LCN,GDP growth (annual %),0.682798838,-6.617724975,7.082073772,3.968984133,2.253041576,2.265258831
Least developed countries: UN classification,LDC,GDP growth (annual %),5.101977814,-0.099896524,2.821341743,4.773151155,3.052220268,3.863854857
Low income,LIC,GDP growth (annual %),3.455661893,-1.044167005,1.267428941,3.636677631,-0.202242108,2.332101941
Liechtenstein,LIE,GDP growth (annual %),,,,,,
Sri Lanka,LKA,GDP growth (annual %),-0.220483887,-4.624515037,4.207476495,-7.349193013,-2.32984819,5.00871931
Lower middle income,LMC,GDP growth (annual %),4.070698133,-3.601667273,6.657983486,6.127844151,6.016327848,5.132162544
Low & middle income,LMY,GDP growth (annual %),4.136591408,-1.057443274,7.414215085,3.959051158,4.817737594,4.333464982
Lesotho,LSO,GDP growth (annual %),-1.417993831,-8.155958799,2.26671067,2.387780202,1.826625259,2.762238185
Late-demographic dividend,LTE,GDP growth (annual %),4.745541394,0.30369378,7.586253216,3.302867065,4.353489185,4.453015101
Lithuania,LTU,GDP growth (annual %),4.677351835,0.042815834,6.380016062,2.53752574,0.342262716,2.772631245
Luxembourg,LUX,GDP growth (annual %),2.749319291,-0.510051634,6.929734258,-1.095053512,-0.693632728,1.031616713
Latvia,LVA,GDP growth (annual %),0.675372772,-3.469227508,6.942541731,1.80677198,2.854218001,-0.442491126
"Macao SAR, China",MAC,GDP growth (annual %),-2.56341515,-54.33610627,23.53589132,-19.60934493,75.06185714,8.808159685
St. Martin (French part),MAF,GDP growth (annual %),6.500003637,-12.50000225,4.899999671,,,
Morocco,MAR,GDP growth (annual %),2.890974761,-7.178207442,8.154738898,1.52720358,3.403341301,3.236513735
Monaco,MCO,GDP growth (annual %),7.12088952,-13.23910483,22.23221559,11.04693943,5.043382592,
Moldova,MDA,GDP growth (annual %),3.552314085,-8.27597832,13.92999979,-4.6,1.2,0.103059412
Madagascar,MDG,GDP growth (annual %),4.411232129,-7.137671621,4.650683432,4.156097784,4.203046158,4.2
Maldives,MDV,GDP growth (annual %),6.923059808,-32.90882873,37.50787,13.82608953,4.72639195,5.133962231
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP growth (annual %),1.486010942,-3.307831184,5.084887969,6.377450359,2.153758249,1.941874904
Mexico,MEX,GDP growth (annual %),-0.392690505,-8.354034566,6.048483457,3.710988931,3.295390957,1.454062478
Marshall Islands,MHL,GDP growth (annual %),10.45211473,-2.772887324,1.222272522,-1.118067979,-3.934871099,2.770968022
Middle income,MIC,GDP growth (annual %),4.145015186,-1.057606428,7.489763899,3.962784017,4.8756831,4.355499495
North Macedonia,MKD,GDP growth (annual %),3.910419538,-4.68845001,4.51067949,2.758884153,2.072542088,2.756249173
Mali,MLI,GDP growth (annual %),4.999999117,-1.16907501,3.100941244,3.50828279,4.71716104,5.004545937
Malta,MLT,GDP growth (annual %),4.084706028,-3.358342532,13.29978932,4.26931853,6.796313111,5.969281961
Myanmar,MMR,GDP growth (annual %),6.579110068,-9.04834718,-12.01637248,4.037493436,0.958446625,-0.972046414
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,GDP growth (annual %),1.219077449,-2.86087725,4.468192981,4.179182938,2.838367183,1.965873987
Montenegro,MNE,GDP growth (annual %),4.062944992,-15.30689376,13.04346425,6.406680329,6.337697542,3.040315798
Mongolia,MNG,GDP growth (annual %),5.602244221,-4.557751976,1.636769577,5.032709637,7.422112762,4.864001434
Northern Mariana Islands,MNP,GDP growth (annual %),-11.4474929,-29.05982906,4.969879518,16.64275466,,
Mozambique,MOZ,GDP growth (annual %),2.317813948,-1.2195225,2.377435728,4.364450744,5.436859123,1.851775025
Mauritania,MRT,GDP growth (annual %),3.141004893,-0.360657384,0.742715395,6.796005102,6.507187199,5.2
Mauritius,MUS,GDP growth (annual %),2.891284993,-14.54653815,3.403798662,8.693066753,5.007813818,4.693903184
Malawi,MWI,GDP growth (annual %),5.716825192,0.79359643,4.55829212,0.921115069,1.892457988,1.82685
Malaysia,MYS,GDP growth (annual %),4.413187421,-5.456846584,3.315349544,8.861821876,3.555487154,5.114155478
North America,NAC,GDP growth (annual %),2.530365863,-2.387608409,6.046729566,2.640006331,2.784140411,2.700069253
Namibia,NAM,GDP growth (annual %),-0.839152163,-8.101402014,3.603829192,5.398724762,4.442806038,3.711544974
New Caledonia,NCL,GDP growth (annual %),-1.400000002,-2.400000001,-2.099999998,3.499999996,,
Niger,NER,GDP growth (annual %),5.939852571,3.550641094,1.383596362,11.9,1.667634065,8.421597895
Nigeria,NGA,GDP growth (annual %),2.208429277,-1.794253083,3.647186541,3.251681408,2.860214991,3.426439471
Nicaragua,NIC,GDP growth (annual %),-2.896869867,-2.236541763,10.45438948,3.550299456,4.427743848,3.587830229
Netherlands,NLD,GDP growth (annual %),2.300091579,-3.867953338,6.276830671,5.007234552,0.074560835,0.979674922
Norway,NOR,GDP growth (annual %),1.12374695,-1.278171772,3.908686768,3.246228603,0.072120481,2.100453278
Nepal,NPL,GDP growth (annual %),6.657055431,-2.369620629,4.838149614,5.631314557,1.982548436,3.665374307
Nauru,NRU,GDP growth (annual %),8.486736592,1.981819494,7.206594666,2.951518346,0.646410335,1.760251622
New Zealand,NZL,GDP growth (annual %),2.31747144,-0.307246896,4.535405657,3.496386865,1.394251816,-0.126462419
OECD members,OED,GDP growth (annual %),1.858012493,-3.902176972,5.957089674,3.053474768,1.823307159,1.784524088
Oman,OMN,GDP growth (annual %),-1.128638017,-3.379720527,2.582174989,7.985707284,1.187134896,1.67407663
Other small states,OSS,GDP growth (annual %),4.337806104,-5.797193478,7.740056167,4.619974866,2.684422431,2.935138727
